country,gini,hdi,co2,population
Uganda,45,0.48267209,0.1108866,39032
Benin,44,0.47963511,0.5099622,10880
Sudan,35,0.47911312,0.3495487,40235
Djibouti,40,0.47044274,0.5619409,888
Senegal,40,0.46588913,0.5883341,15129
Afghanistan,28,0.46526426,0.4252621,32527
Malawi,46,0.44541556,0.0792315,17215
Ethiopia,34,0.44181595,0.0839431,99391
Liberia,38,0.42969511,0.218425,4503
Guinea-Bissau,36,0.41960507,0.1468107,1844
Mali,33,0.41928884,0.0799564,17600
Mozambique,46,0.41642756,0.1311898,27978
Sierra Leone,35,0.41277943,0.1520442,6453
Guinea,34,0.41128163,0.2294234,12609
Burkina Faso,40,0.40228757,0.1199806,18106
Burundi,33,0.39992833,0.0213499,11179
Chad,43,0.39190572,0.0438304,14037
Eritrea,..,0.39089902,0.1087184,5228
Central African Republic,56,0.35013107,0.0631278,4900
Niger,31,0.34825439,0.0839582,19899
